msg_count,mid_price,imbalance,best_bid,best_ask,spread
189,19.95,3000,19.95,0,0
192,19.95,6000,19.95,0,0
193,19.965,3000,19.95,19.98,0.03
195,19.965,0,19.95,19.98,0.03
768,19.965,100,19.95,19.98,0.03
775,19.965,0,19.95,19.98,0.03
1324,19.97,1000,19.96,19.98,0.02
1398,19.965,-5000,19.96,19.97,0.01
1409,19.965,-8600,19.96,19.97,0.01
1415,19.965,-11100,19.96,19.97,0.01
1419,19.965,-12300,19.96,19.97,0.01
1747,19.965,-12300,19.96,19.97,0.01
1748,19.965,-11300,19.96,19.97,0.01
1759,19.965,-10200,19.96,19.97,0.01
1776,19.965,-9000,19.96,19.97,0.01
1800,19.965,-10200,19.96,19.97,0.01
1806,19.965,-11200,19.96,19.97,0.01
1822,19.965,-10900,19.96,19.97,0.01
2312,19.965,-11800,19.96,19.97,0.01
2432,19.965,-15200,19.96,19.97,0.01
2433,19.965,-17200,19.96,19.97,0.01
2434,19.965,-19600,19.96,19.97,0.01
2497,19.965,-20900,19.96,19.97,0.01
2501,19.965,-22200,19.96,19.97,0.01
2502,19.965,-23500,19.96,19.97,0.01
2504,19.965,-24800,19.96,19.97,0.01
2528,19.965,-26100,19.96,19.97,0.01
2673,19.965,-27400,19.96,19.97,0.01
2760,19.965,-28700,19.96,19.97,0.01
2763,19.965,-30000,19.96,19.97,0.01
2964,19.965,-28500,19.96,19.97,0.01
2966,19.965,-27300,19.96,19.97,0.01
2967,19.96,-28400,19.96,19.96,0
2968,19.96,-34400,19.96,19.96,0
2986,19.96,-36800,19.96,19.96,0
2994,19.96,-38000,19.96,19.96,0
2997,19.96,-39200,19.96,19.96,0
3015,19.96,-38100,19.96,19.96,0
3019,19.96,-40500,19.96,19.96,0
3020,19.96,-39400,19.96,19.96,0
3024,19.96,-41800,19.96,19.96,0
3025,19.96,-44200,19.96,19.96,0
3027,19.96,-44700,19.96,19.96,0
3028,19.96,-43600,19.96,19.96,0
3038,19.96,-42500,19.96,19.96,0
3041,19.96,-44900,19.96,19.96,0
3046,19.96,-43800,19.96,19.96,0
3056,19.96,-42800,19.96,19.96,0
3058,19.96,-42300,19.96,19.96,0
3154,19.96,-43500,19.96,19.96,0
3158,19.96,-45900,19.96,19.96,0
3160,19.96,-47100,19.96,19.96,0
3163,19.96,-48200,19.96,19.96,0
3184,19.96,-49400,19.96,19.96,0
3190,19.96,-50700,19.96,19.96,0
3194,19.96,-52500,19.96,19.96,0
3210,19.96,-53700,19.96,19.96,0
3212,19.96,-54300,19.96,19.96,0
3216,19.96,-55500,19.96,19.96,0
3234,19.96,-56700,19.96,19.96,0
3238,19.96,-57300,19.96,19.96,0
3242,19.96,-58500,19.96,19.96,0
3257,19.96,-59100,19.96,19.96,0
3291,19.96,-60300,19.96,19.96,0
3292,19.96,-60900,19.96,19.96,0
3303,19.96,-62100,19.96,19.96,0
3316,19.96,-62700,19.96,19.96,0
3321,19.96,-63900,19.96,19.96,0
3349,19.96,-65100,19.96,19.96,0
3394,19.96,-66300,19.96,19.96,0
3403,19.96,-67500,19.96,19.96,0
3440,19.96,-68700,19.96,19.96,0
3559,19.96,-69900,19.96,19.96,0
3613,19.96,-71400,19.96,19.96,0
3614,19.96,-72600,19.96,19.96,0
3623,19.96,-73800,19.96,19.96,0
3626,19.96,-74700,19.96,19.96,0
3627,19.96,-75900,19.96,19.96,0
3628,19.96,-76800,19.96,19.96,0
3637,19.96,-78000,19.96,19.96,0
3647,19.96,-78900,19.96,19.96,0
3656,19.96,-80100,19.96,19.96,0
3657,19.96,-81000,19.96,19.96,0
3661,19.96,-82200,19.96,19.96,0
3664,19.96,-83100,19.96,19.96,0
3671,19.96,-84300,19.96,19.96,0
3672,19.96,-85200,19.96,19.96,0
3675,19.96,-86400,19.96,19.96,0
3686,19.96,-87300,19.96,19.96,0
3781,19.96,-88500,19.96,19.96,0
4024,19.96,-89700,19.96,19.96,0
4085,19.96,-91000,19.96,19.96,0
4093,19.96,-92300,19.96,19.96,0
4094,19.96,-93600,19.96,19.96,0
4098,19.96,-94900,19.96,19.96,0
4100,19.96,-96200,19.96,19.96,0
4102,19.96,-97500,19.96,19.96,0
4252,19.96,-99000,19.96,19.96,0
4333,19.96,-100200,19.96,19.96,0
4343,19.96,-100900,19.96,19.96,0
4915,19.96,-104600,19.96,19.96,0
4916,19.96,-106100,19.96,19.96,0
4917,19.96,-105600,19.96,19.96,0
4919,19.96,-102600,19.96,19.96,0
4920,19.96,-102100,19.96,19.96,0
4923,19.96,-101600,19.96,19.96,0
4926,19.96,-100500,19.96,19.96,0
